员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
8771,钱明,女,15771172764,zhuang@example.com,在职,HR专员,人事部,2017-05-03,,
8772,张刚,男,18186752304,yanghe@example.net,在职,市场经理,市场部,2018-05-24,,
8773,关东,男,13576947226,xionglei@example.com,离职,后端工程师,技术部,2013-12-26,2020-02-25,
8774,余丽华,男,15137866326,tianwei@example.net,在职,销售代表,销售部,2019-12-06,,
8775,左建国,女,13316345834,leicui@example.com,在职,销售经理,销售部,2015-07-29,,
8776,袁帅,女,15389564624,baijuan@example.net,离职,会计,财务部,2014-01-02,2017-12-27,文件首页会员深圳完全本站.
8777,杨红,男,15310836730,ichang@example.com,离职,测试工程师,技术部,2017-12-03,2018-02-03,
8778,白军,男,14573195567,weimeng@example.org,离职,HR专员,人事部,2014-08-01,2015-09-25,
8779,魏平,男,15223088206,aqian@example.org,在职,出纳,财务部,2018-12-21,,
8780,陈婷,女,13397382705,minye@example.net,在职,HR专员,人事部,2017-02-11,,必须更新有限是一免费.
8781,梁健,女,18686380521,pengxiulan@example.net,离职,出纳,财务部,2014-12-26,2016-08-06,电影虽然深圳等级日本全部首页选择.
8782,杨凤兰,男,13267114224,schen@example.net,在职,市场专员,市场部,2019-12-21,,
8783,王雪,男,15258163250,ocai@example.com,在职,人事经理,人事部,2013-08-21,,来源加入广告个人当前如此项目.
8784,张勇,女,18206161177,juanfang@example.com,离职,市场经理,市场部,2019-07-01,2020-02-14,
8785,马建军,男,18011976351,guiyingwei@example.org,在职,HR专员,人事部,2013-10-23,,
8786,杨金凤,女,15381337160,fang34@example.org,在职,销售经理,销售部,2016-05-29,,行业标准加入使用联系等级操作游戏.
8787,安秀英,男,13720248338,na07@example.net,在职,HR专员,人事部,2019-10-15,,拥有阅读日本已经发现工程.
8788,荣磊,男,18253198949,laifang@example.com,在职,会计,财务部,2018-01-11,,
8789,程桂芳,男,13344384780,sunxiulan@example.net,在职,销售经理,销售部,2020-04-26,,
8790,王畅,男,18866908712,mingjiang@example.net,在职,市场专员,市场部,2018-08-02,,部门中文运行搜索评论.
8791,阮桂芝,男,18177508948,juan80@example.com,在职,销售代表,销售部,2015-03-31,,
8792,蒋娟,男,18990592753,weiyao@example.net,在职,销售代表,销售部,2020-06-18,,
8793,万莉,男,13259406624,xiulan59@example.com,在职,市场经理,市场部,2015-06-27,,浏览责任就是有些而且广告.
8794,李亮,女,18684129846,tanguiying@example.net,在职,市场经理,市场部,2018-11-26,,
8795,苏志强,女,15650674559,tianlei@example.com,在职,HR专员,人事部,2019-10-15,,作为联系一直教育.
8796,陈艳,男,15769788866,zhongfang@example.org,在职,前端工程师,技术部,2020-01-09,,详细北京资料到了参加查看.
8797,赵建国,女,18886920886,gangzou@example.net,在职,前端工程师,技术部,2020-01-27,,这是进行销售基本很多.
8798,靳俊,女,13737084423,lei97@example.net,在职,后端工程师,技术部,2015-01-28,,
8799,洪磊,男,18295658461,taosu@example.org,在职,市场经理,市场部,2018-04-07,,
8800,王颖,男,14563601016,yan83@example.com,在职,销售经理,销售部,2015-07-03,,关系地区有限目前图片美国参加.
8801,廉涛,男,18054877166,rjiang@example.net,离职,销售代表,销售部,2019-10-30,2020-12-14,汽车更多应用.
8802,刘丽娟,男,13286151207,xiahuang@example.org,在职,后端工程师,技术部,2019-08-29,,
8803,赵东,女,15308293600,juanqin@example.org,在职,市场专员,市场部,2020-01-18,,
8804,张丽,女,15342893103,qiang62@example.net,在职,销售代表,销售部,2018-08-02,,到了感觉起来也是资料国内.
8805,王林,女,18100322549,qianglai@example.com,在职,市场专员,市场部,2014-10-03,,那些一种原因大家无法那些部分.
8806,黄玉珍,女,15744845661,juan05@example.com,在职,市场经理,市场部,2015-05-10,,
8807,苏玉兰,女,18555156545,duanchao@example.net,在职,人事经理,人事部,2018-07-16,,
8808,田华,女,14766111952,ping17@example.org,在职,财务主管,财务部,2020-11-06,,
8809,邹雷,男,18529547101,qiangsu@example.com,在职,测试工程师,技术部,2018-12-30,,解决实现经营这些经济重要看到说明.
8810,萧金凤,女,13718140172,li80@example.com,在职,架构师,技术部,2014-04-27,,
8811,徐阳,男,15755076922,qiang02@example.com,离职,销售经理,销售部,2018-05-28,2020-05-01,您的选择结果手机.
8812,林玉梅,男,15831678857,myin@example.net,在职,HR专员,人事部,2015-12-28,,
8813,赵兵,女,18814880431,juan42@example.com,在职,HR专员,人事部,2020-06-10,,
8814,张浩,男,13902509483,juan18@example.org,在职,出纳,财务部,2013-11-12,,
8815,叶雷,男,15969102759,yonglong@example.net,在职,前端工程师,技术部,2019-04-02,,
8816,贺东,男,15397209179,lkong@example.org,离职,后端工程师,技术部,2020-08-19,2020-10-25,然后起来论坛.
8817,林成,女,18098848477,tangguiying@example.net,离职,人事经理,人事部,2015-06-05,2020-08-10,制作规定介绍大学.
8818,张欣,女,13578908256,yinxia@example.com,离职,架构师,技术部,2020-09-06,2020-09-11,
8819,游利,男,14555182351,yang68@example.net,在职,销售代表,销售部,2014-04-09,,查看方面本站成为.
8820,蒋玉珍,男,13343411009,taoyin@example.com,在职,前端工程师,技术部,2016-10-15,,
8821,闻秀华,男,13484180120,kangli@example.net,在职,销售经理,销售部,2020-07-03,,
8822,朱玉华,女,13712583618,dingli@example.net,在职,人事经理,人事部,2017-08-22,,
8823,张红,男,14585899325,jqiu@example.org,在职,销售代表,销售部,2014-10-28,,
8824,马想,女,13983175530,guiying90@example.org,离职,市场经理,市场部,2017-11-28,2019-04-28,
8825,马莹,男,18118926092,xia31@example.com,离职,财务主管,财务部,2014-04-11,2017-03-08,已经到了一起当前.
8826,李畅,男,13613175464,xiuying86@example.com,在职,销售代表,销售部,2020-10-22,,
8827,窦冬梅,男,18039262615,renjuan@example.com,在职,人事经理,人事部,2016-03-11,,
8828,张建军,女,13813426224,ljin@example.net,离职,销售代表,销售部,2019-02-15,2020-11-23,
8829,丁欣,男,14556966227,zchen@example.com,离职,测试工程师,技术部,2014-12-16,2015-12-27,
8830,陈伟,女,13520751410,tzhou@example.net,在职,市场专员,市场部,2015-01-10,,报告都是推荐电脑实现推荐一切分析.
8831,余鹏,女,14523394279,pantao@example.com,在职,销售代表,销售部,2016-05-30,,如果任何我们方式质量产品必须.
8832,元金凤,女,15566568654,jie77@example.net,在职,销售经理,销售部,2013-08-24,,销售质量一些.
8833,杨柳,男,18071096680,xiulan96@example.com,在职,人事经理,人事部,2019-10-28,,
8834,李军,男,15138237865,kongwei@example.org,在职,市场专员,市场部,2016-12-12,,
8835,李刚,男,15270519919,wenfang@example.org,在职,前端工程师,技术部,2020-09-01,,
8836,蔡秀梅,女,13917716624,gang50@example.net,在职,市场专员,市场部,2014-07-23,,
8837,王东,女,18641851351,ksu@example.org,离职,人事经理,人事部,2017-12-30,2019-04-27,
8838,史阳,男,15200700582,yaona@example.org,离职,架构师,技术部,2020-10-09,2020-11-16,
8839,石红,男,18807562769,lichao@example.org,在职,财务主管,财务部,2018-05-28,,
8840,张彬,女,13249702167,yang47@example.net,在职,前端工程师,技术部,2015-05-31,,
8841,姜阳,女,18061249357,laijun@example.net,在职,前端工程师,技术部,2018-12-05,,
8842,王东,男,15359150010,yongfan@example.net,在职,前端工程师,技术部,2019-07-14,,
8843,许雪梅,女,14530031528,fangtan@example.net,在职,人事经理,人事部,2014-03-27,,组织客户两个学校方式说明部门工程.
8844,韦凤兰,男,15715350995,zwu@example.net,在职,测试工程师,技术部,2013-12-14,,
8845,李桂香,女,18975649224,dguo@example.org,在职,测试工程师,技术部,2020-08-30,,
8846,娄红梅,女,14503541957,axie@example.com,在职,财务主管,财务部,2016-12-20,,
8847,王婷,男,15501606237,yang47@example.com,在职,测试工程师,技术部,2018-06-08,,时间这个或者.
8848,杨博,女,18583254618,pingzhu@example.com,在职,销售代表,销售部,2018-07-01,,出来国内这样已经.
8849,覃秀梅,男,14793533372,ckang@example.org,在职,HR专员,人事部,2016-11-03,,
8850,赵建平,女,13867937589,ghan@example.com,在职,销售代表,销售部,2020-04-19,,
8851,孙慧,男,18922738291,gang87@example.net,在职,销售代表,销售部,2015-04-22,,
8852,俞阳,女,15319589643,guoyang@example.org,在职,人事经理,人事部,2017-09-09,,国内最新推荐数据.
8853,蒙秀珍,女,13702092317,jiesong@example.org,在职,市场专员,市场部,2016-05-24,,
8854,赵坤,女,18011439946,ldong@example.org,在职,出纳,财务部,2015-06-28,,
8855,孙燕,女,18960050916,minliu@example.org,在职,出纳,财务部,2020-11-23,,当然事情推荐一种我的.
8856,唐斌,女,15723271417,jing71@example.org,在职,出纳,财务部,2017-02-26,,软件教育发生经济为什数据一次标准.
8857,何涛,女,14757846057,mindeng@example.com,离职,会计,财务部,2019-12-19,2020-07-27,世界类型具有汽车提供手机.
8858,李健,女,15650204065,wxiao@example.com,在职,前端工程师,技术部,2017-07-09,,
8859,钱丽娟,女,13409398280,ligang@example.org,在职,HR专员,人事部,2014-09-04,,空间已经详细问题程序不断服务.
8860,杜倩,男,13208665783,yiwei@example.org,在职,会计,财务部,2019-07-17,,查看注意一种部分表示.
8861,陈静,男,18792553453,yandai@example.com,在职,市场专员,市场部,2014-02-01,,
8862,张阳,男,18252313269,yanghe@example.net,离职,市场经理,市场部,2017-02-08,2019-02-19,
8863,许欢,男,15874727887,gang80@example.com,在职,HR专员,人事部,2016-04-13,,一起那个新闻图片中文.
8864,杜静,男,15569382699,songna@example.org,在职,人事经理,人事部,2015-10-20,,
8865,余红,女,15075408325,sungang@example.org,在职,市场经理,市场部,2016-07-23,,本站原因会员.
8866,李兵,男,15903716939,xiulan00@example.org,在职,销售经理,销售部,2020-08-26,,中国有关搜索到了感觉法律同时.
8867,王秀荣,男,13775624632,min62@example.org,在职,市场专员,市场部,2015-07-04,,
8868,郑金凤,男,18510239103,qiaolei@example.org,在职,市场经理,市场部,2016-06-01,,
8869,郭桂芳,男,18522835439,xiazhu@example.net,在职,市场专员,市场部,2013-11-07,,
8870,南龙,男,18516419078,pingzhao@example.com,在职,HR专员,人事部,2018-02-28,,
8871,李建,男,18088174714,yankang@example.net,在职,人事经理,人事部,2014-12-30,,环境资料关于一个应用.
8872,聂斌,男,13134560499,xiuying71@example.net,在职,架构师,技术部,2020-09-16,,
8873,张丽娟,男,13536900222,panjun@example.org,在职,销售经理,销售部,2015-01-16,,
8874,熊磊,男,18523080029,liwu@example.com,在职,市场专员,市场部,2016-04-07,,
8875,南桂芳,女,13598574330,ulu@example.org,在职,人事经理,人事部,2018-08-12,,
8876,张丽华,男,15784698319,yangmeng@example.net,在职,HR专员,人事部,2018-02-02,,
8877,马宁,男,15604289320,zhaoxiuying@example.net,在职,前端工程师,技术部,2017-04-04,,
8878,黄林,女,13795153405,chaoliang@example.org,离职,销售代表,销售部,2013-08-28,2015-10-28,
8879,戴玉珍,女,15738100530,vhou@example.net,在职,HR专员,人事部,2014-11-01,,
8880,王金凤,女,18164372775,pingyin@example.org,离职,销售代表,销售部,2019-04-28,2020-11-13,
8881,黄雪梅,男,13885622077,yinming@example.org,离职,测试工程师,技术部,2019-10-20,2020-01-21,业务这里实现历史.
8882,何秀珍,男,13105674472,ping87@example.org,在职,HR专员,人事部,2014-03-10,,
8883,罗洋,女,13715997649,jing29@example.net,在职,测试工程师,技术部,2019-10-07,,
8884,王玉,男,18108396314,na48@example.org,在职,架构师,技术部,2016-10-17,,
8885,张阳,男,14522980306,mshao@example.com,离职,销售经理,销售部,2014-03-03,2015-04-26,
8886,杨军,男,18186588500,qiang92@example.org,在职,人事经理,人事部,2014-02-13,,方法广告中国不能各种当然.
8887,阳淑兰,女,15291774894,ping22@example.net,在职,出纳,财务部,2017-10-05,,
8888,刘建华,男,15269139266,cdong@example.com,在职,后端工程师,技术部,2015-05-18,,
8889,龚颖,男,15760292061,chao97@example.net,在职,市场专员,市场部,2013-12-24,,
8890,王桂珍,男,15989896111,tao11@example.org,离职,人事经理,人事部,2018-04-09,2020-04-02,
8891,刘楠,女,13284164129,zxu@example.net,在职,出纳,财务部,2013-11-27,,
8892,柯秀云,男,18540804719,weijun@example.org,在职,后端工程师,技术部,2013-09-19,,一定本站有些希望进行介绍.
8893,李阳,男,14508000138,gxue@example.net,离职,人事经理,人事部,2020-11-03,2020-12-06,
8894,李霞,女,14521968928,mingxue@example.net,在职,市场经理,市场部,2015-03-15,,很多谢谢成功开发来源密码设计推荐.
8895,陈萍,男,13563857110,pren@example.com,在职,财务主管,财务部,2017-10-11,,
8896,李颖,男,14511394472,jli@example.com,在职,后端工程师,技术部,2013-12-14,,
8897,张淑兰,女,18670220963,psong@example.org,在职,架构师,技术部,2015-10-06,,
8898,黄建国,女,13948635849,tianguiying@example.net,在职,市场经理,市场部,2020-10-08,,
8899,李建华,女,13792348848,qinjuan@example.com,在职,会计,财务部,2017-01-13,,不会开始正在正在工具到了科技等级.
8900,沈颖,男,13982832778,yongshi@example.net,离职,HR专员,人事部,2014-10-29,2019-05-30,
8901,任丽丽,男,14585643143,sdu@example.com,在职,市场专员,市场部,2017-07-27,,
8902,王志强,男,15879692707,gongqiang@example.org,在职,市场经理,市场部,2018-12-07,,
8903,孙刚,女,15584779231,ccao@example.net,在职,销售代表,销售部,2020-08-25,,
8904,孟丽,女,13661912957,xiuyingfan@example.net,离职,销售经理,销售部,2018-10-15,2019-10-12,
8905,刘建平,女,13990188331,pxie@example.org,在职,架构师,技术部,2013-10-15,,作者论坛工作责任重要.
8906,郝琴,女,18518825508,jie60@example.org,在职,人事经理,人事部,2019-05-18,,提供一个或者为了.
8907,侯想,男,13362530278,xiuyingcui@example.net,离职,市场经理,市场部,2015-06-03,2020-04-23,这种你的语言规定类别.
8908,杨丽,女,18072668578,xgao@example.org,在职,出纳,财务部,2016-01-06,,
8909,莫涛,女,13118928597,tsu@example.net,在职,前端工程师,技术部,2015-01-29,,
8910,陈强,男,18843700461,tlin@example.com,在职,后端工程师,技术部,2013-12-02,,有关要求或者成为行业.
8911,孙欣,男,18258367153,jun59@example.net,在职,市场专员,市场部,2019-12-29,,功能教育知道发布合作同时.
8912,刘雷,女,18802497474,moyang@example.org,离职,市场经理,市场部,2019-06-17,2020-02-18,
8913,吴燕,女,18784106036,tzeng@example.org,在职,会计,财务部,2016-12-08,,
8914,胡飞,女,13990912778,qiangzhao@example.net,在职,人事经理,人事部,2014-07-04,,国家销售应用方面.
8915,郭涛,女,18153682917,qiang80@example.com,在职,后端工程师,技术部,2019-06-11,,精华价格基本广告用户价格基本.
8916,赵平,男,18613013256,min89@example.org,在职,销售代表,销售部,2016-06-02,,
8917,翁春梅,女,13725470823,liping@example.net,在职,出纳,财务部,2017-01-14,,
8918,江鑫,男,15589981180,jwang@example.net,在职,测试工程师,技术部,2014-10-06,,关系或者一样但是网站历史根据.
8919,徐洁,男,15397208615,fang41@example.org,在职,后端工程师,技术部,2014-04-30,,
8920,李霞,女,15635964858,pyuan@example.net,在职,会计,财务部,2016-11-11,,
8921,张勇,女,15669041115,guiying64@example.org,在职,市场经理,市场部,2013-08-29,,
8922,雷鑫,男,13962668150,qiang51@example.org,在职,人事经理,人事部,2016-05-08,,
8923,张刚,女,15905081260,lujuan@example.com,在职,人事经理,人事部,2019-05-30,,
8924,桑博,男,15216991221,xyuan@example.com,在职,销售代表,销售部,2017-08-23,,网络过程得到显示最后报告.
8925,陈婷,男,13359727923,ping80@example.com,离职,市场专员,市场部,2019-08-01,2020-08-11,
8926,张兰英,男,18545888670,leikang@example.net,在职,销售经理,销售部,2019-10-10,,
8927,黄雪,男,18557644416,hanchao@example.com,在职,市场专员,市场部,2020-01-01,,结果状态生产登录.
8928,陈静,女,18887623418,xiangtao@example.com,在职,销售经理,销售部,2019-10-29,,
8929,萧芳,男,18073700658,bwang@example.org,离职,财务主管,财务部,2020-03-14,2020-09-02,
8930,朱明,女,18928504153,xiazeng@example.org,在职,出纳,财务部,2016-12-10,,科技提供使用其实.
8931,谢龙,女,18780758935,uliang@example.org,在职,市场经理,市场部,2016-11-22,,
8932,李欣,女,15277366860,lei05@example.org,在职,HR专员,人事部,2016-11-07,,
8933,苏云,女,18687134581,shengang@example.com,离职,市场经理,市场部,2017-08-10,2018-01-04,
8934,何杰,女,13850619607,weishi@example.net,在职,出纳,财务部,2016-08-26,,查看全国数据正在.
8935,刘琳,女,14719312975,wjin@example.org,在职,测试工程师,技术部,2014-01-04,,
8936,张建平,女,18183525712,juan80@example.org,在职,销售经理,销售部,2014-02-28,,
8937,陆文,女,13798780362,jiechen@example.com,在职,销售代表,销售部,2015-03-08,,
8938,李建华,男,13372966931,alei@example.com,离职,HR专员,人事部,2018-03-26,2020-02-21,
8939,王梅,男,18522836618,min59@example.org,在职,前端工程师,技术部,2015-05-25,,
8940,王飞,女,15862704818,nazhao@example.net,在职,销售代表,销售部,2014-04-07,,
8941,张军,女,13029250896,xia26@example.com,在职,后端工程师,技术部,2017-05-23,,
8942,萧杰,男,15867612134,sren@example.com,在职,HR专员,人事部,2016-04-02,,全国操作所以那么对于.
8943,耿建,男,18616219441,vcui@example.org,在职,会计,财务部,2016-12-31,,评论无法资料.
8944,翟洋,男,18071224019,xiulanren@example.com,在职,销售经理,销售部,2017-03-13,,显示用户以上知道就是科技.
8945,张建华,女,13552428413,gaoqiang@example.com,离职,销售经理,销售部,2017-01-06,2017-05-10,注册电脑设计你的更新.
8946,刘秀梅,男,15346082366,nwang@example.net,离职,HR专员,人事部,2015-02-06,2016-03-23,
8947,伍俊,女,18177710083,jingmo@example.com,在职,出纳,财务部,2014-12-08,,
8948,赵雷,女,15340385047,jun11@example.net,在职,市场经理,市场部,2016-03-29,,
8949,施兵,男,13064221057,qiangcai@example.com,离职,人事经理,人事部,2019-11-10,2020-03-14,
8950,寇佳,女,13819289278,swei@example.org,在职,人事经理,人事部,2017-08-12,,上海上海广告他的男人一起原因.
8951,刘桂英,女,15108562604,jlong@example.com,在职,测试工程师,技术部,2018-06-02,,
8952,段淑华,男,15260654995,chaoma@example.net,在职,人事经理,人事部,2014-09-29,,
8953,曾宁,男,18853781816,myang@example.net,在职,HR专员,人事部,2020-09-25,,
8954,黄瑞,女,18173302473,xxiong@example.net,在职,市场专员,市场部,2018-01-24,,
8955,解刚,女,15258106488,jiayong@example.net,离职,人事经理,人事部,2018-01-13,2018-04-27,不过联系组织发现.
8956,王兰英,男,13132032921,uqiu@example.com,在职,会计,财务部,2020-09-12,,
8957,王丹,女,15015539677,jie96@example.net,离职,人事经理,人事部,2020-12-10,2020-12-11,
8958,张辉,女,13763581984,li47@example.net,离职,HR专员,人事部,2015-07-03,2016-01-04,
8959,田桂花,男,18883773432,jiedu@example.net,离职,市场专员,市场部,2015-03-08,2020-03-18,完成如果自己同时登录.
8960,董冬梅,男,13851887782,lixia@example.com,在职,财务主管,财务部,2015-10-25,,
8961,谢冬梅,男,18789963786,gonglei@example.net,在职,出纳,财务部,2013-12-27,,
8962,徐伟,男,13902787643,jingpan@example.com,在职,销售代表,销售部,2017-09-14,,很多应用关于.
8963,黄刚,女,13634114018,wei18@example.net,在职,后端工程师,技术部,2013-09-24,,
8964,刘慧,女,13458171719,dxue@example.net,离职,市场经理,市场部,2019-06-22,2020-09-30,谢谢任何之间一起就是之间处理行业.
8965,符淑英,男,13868848410,jie94@example.net,离职,人事经理,人事部,2016-12-28,2018-04-12,
8966,伍荣,男,15638940113,li40@example.net,在职,人事经理,人事部,2018-03-27,,
8967,王雪,女,14568848511,ozeng@example.org,在职,销售经理,销售部,2014-02-17,,
8968,郑敏,男,18103439532,linjing@example.com,在职,出纳,财务部,2016-01-12,,
8969,陈欣,女,15911692930,fangzheng@example.net,在职,销售代表,销售部,2020-05-01,,
8970,许岩,女,15280003630,linlei@example.org,离职,销售经理,销售部,2018-05-18,2020-01-17,
8971,周建军,女,13938856748,kongxiulan@example.com,在职,人事经理,人事部,2017-07-06,,
8972,庞宇,女,14702902408,ipan@example.org,在职,人事经理,人事部,2015-03-04,,
8973,邱玉华,女,18244163496,ping80@example.com,在职,市场专员,市场部,2014-05-18,,
8974,李帆,男,13777070279,wei04@example.org,在职,人事经理,人事部,2013-09-28,,
8975,陈志强,女,18635119686,zhangxia@example.net,在职,人事经理,人事部,2013-11-30,,
8976,王丽丽,男,18968120022,jie84@example.com,在职,市场专员,市场部,2017-08-27,,全国发布积分都是情况.
8977,蒋博,男,18954096997,ming61@example.org,在职,HR专员,人事部,2018-08-28,,
8978,徐海燕,女,15554293504,wangyang@example.net,在职,测试工程师,技术部,2016-06-27,,
8979,王敏,女,13630128977,dingtao@example.com,在职,市场专员,市场部,2020-04-30,,
8980,余涛,男,14521718745,yanchen@example.com,在职,市场专员,市场部,2018-08-11,,
8981,潘小红,男,18827829576,guiyingfan@example.net,在职,会计,财务部,2016-11-11,,
8982,李玉英,女,15985280168,yanjin@example.com,离职,前端工程师,技术部,2014-01-22,2019-10-31,
8983,王红梅,男,18849172234,zqin@example.com,在职,销售经理,销售部,2013-07-21,,
8984,杜志强,女,13096253634,uliu@example.org,离职,HR专员,人事部,2019-04-23,2020-06-10,
8985,杜丹丹,男,13822283355,minggao@example.org,在职,会计,财务部,2019-06-07,,不要但是一切需要重要你的你的.
8986,孟利,女,13141312108,yong41@example.net,在职,架构师,技术部,2014-03-06,,
8987,王艳,女,13916057251,tao99@example.com,在职,会计,财务部,2017-03-19,,
8988,苏伟,女,18085411416,leicao@example.org,离职,财务主管,财务部,2013-09-23,2017-06-26,
8989,谢佳,男,18969519608,fang06@example.com,在职,市场经理,市场部,2020-12-10,,学校研究你们不是.
8990,毛凯,女,13486154847,gang34@example.net,在职,人事经理,人事部,2014-11-29,,
8991,刘俊,女,15359154454,xiulan55@example.net,在职,人事经理,人事部,2020-01-11,,
8992,刘勇,女,15084666843,jun51@example.org,在职,HR专员,人事部,2013-07-11,,
8993,赵玉华,女,15626918743,xia95@example.org,在职,销售经理,销售部,2014-03-15,,应用分析出现.
8994,余慧,女,15634050554,jing58@example.net,在职,市场经理,市场部,2016-12-09,,
8995,陈莉,女,15282646952,uqiu@example.com,在职,销售经理,销售部,2020-08-05,,评论东西决定因此.
8996,莫丹丹,男,13359346917,xchen@example.org,在职,销售代表,销售部,2020-12-17,,
8997,谭建平,男,13978901847,tkong@example.com,在职,人事经理,人事部,2016-06-17,,更多世界文章其中次数.
8998,冯建,女,15003451595,luchao@example.org,在职,销售经理,销售部,2020-02-02,,
8999,秦亮,女,18108435733,pingluo@example.org,在职,架构师,技术部,2020-03-25,,
9000,傅倩,女,18945351311,xiulan36@example.org,在职,前端工程师,技术部,2017-04-05,,
9001,杨岩,男,15332160634,libai@example.net,在职,架构师,技术部,2019-01-24,,
9002,金玉梅,男,13639512404,ping29@example.com,在职,出纳,财务部,2016-09-16,,
9003,高宁,男,14506164122,guiyingfang@example.net,在职,市场专员,市场部,2018-07-06,,电子然后登录还是建设.
9004,杨静,女,15162268787,fang08@example.org,离职,市场经理,市场部,2015-04-22,2017-08-13,
9005,宋鑫,女,18115816535,mingbai@example.org,在职,后端工程师,技术部,2018-08-23,,
9006,任健,男,13642670547,pingren@example.net,在职,销售经理,销售部,2017-07-22,,但是无法阅读作品你们标准.
9007,倪桂芳,男,13122769911,shaoxiulan@example.net,在职,架构师,技术部,2018-01-24,,这个登录什么环境不要标准.
9008,钟华,男,13759221423,acheng@example.org,在职,人事经理,人事部,2017-07-02,,
9009,萧淑英,男,13050459623,qyuan@example.org,在职,前端工程师,技术部,2014-08-16,,
9010,陈小红,男,18206552198,nshi@example.com,离职,前端工程师,技术部,2013-12-16,2020-06-23,
9011,杨丽娟,男,14549477396,wei13@example.net,在职,财务主管,财务部,2020-09-08,,之间为什加入喜欢规定.
9012,梁敏,女,13834146437,uding@example.net,在职,市场经理,市场部,2013-09-30,,
9013,刘欢,女,13831859603,ecui@example.org,在职,市场经理,市场部,2019-11-20,,
9014,倪建,男,14565413005,tanjie@example.com,离职,市场专员,市场部,2014-01-02,2017-07-15,加入得到分析精华论坛联系.
9015,周秀华,女,18557972229,taomo@example.com,在职,市场经理,市场部,2014-06-10,,阅读有些支持业务.
9016,郭丹丹,男,15157375965,jing93@example.com,在职,人事经理,人事部,2020-07-25,,
9017,汤雪,女,15781544987,xiahou@example.org,在职,HR专员,人事部,2018-01-03,,开始男人帖子目前提高.
9018,王桂兰,男,13910657211,gang91@example.org,离职,会计,财务部,2018-03-19,2020-05-19,
9019,熊凯,男,13627869648,zhouyang@example.com,在职,市场专员,市场部,2014-10-03,,
9020,赵波,女,18617729934,uhan@example.net,在职,HR专员,人事部,2015-11-13,,
9021,杨凤兰,男,18032488872,pingyan@example.com,在职,销售代表,销售部,2019-12-26,,精华这种比较但是精华一下.
9022,杨艳,男,13643023722,qintao@example.org,在职,市场经理,市场部,2018-08-14,,
9023,田玉英,男,13870873526,fchen@example.com,离职,人事经理,人事部,2016-02-24,2018-11-18,
9024,叶超,女,13266785825,kkong@example.net,在职,前端工程师,技术部,2015-01-06,,开发然后能够电影全国.
9025,韩秀英,女,13613886303,guiying93@example.net,离职,财务主管,财务部,2014-12-29,2020-12-07,
9026,夏红梅,女,18193871465,fangduan@example.com,在职,市场经理,市场部,2018-06-17,,开发全国不过这是.
9027,杨洁,男,15687917307,junlong@example.com,离职,HR专员,人事部,2014-10-29,2015-06-13,
9028,陈兵,女,15902008989,xia02@example.com,在职,市场经理,市场部,2016-12-29,,
9029,明婷婷,男,18058409617,minggu@example.org,在职,后端工程师,技术部,2020-09-30,,
9030,刘海燕,男,15871710123,yan78@example.org,在职,测试工程师,技术部,2018-10-06,,不会的是全部以及国际发生经验.
9031,田云,女,18062934799,lei79@example.com,在职,销售代表,销售部,2015-09-08,,
9032,李成,女,18613624344,bchang@example.com,在职,出纳,财务部,2017-07-02,,
9033,吴霞,男,15652824279,juan51@example.org,离职,后端工程师,技术部,2015-04-09,2015-12-02,基本之后大家如果喜欢非常成为.
9034,程丹,男,15503068480,min37@example.net,在职,销售经理,销售部,2013-06-29,,
9035,万英,男,18701179670,na45@example.com,离职,后端工程师,技术部,2013-06-27,2017-02-01,
9036,任秀兰,女,13126781267,ping60@example.net,在职,销售经理,销售部,2020-09-23,,最后设备自己之间分析位置她的.
9037,胡岩,女,18882976445,qinlei@example.net,在职,HR专员,人事部,2014-10-30,,
9038,刘云,女,14520395719,panchao@example.org,在职,架构师,技术部,2020-01-19,,可以经验论坛可以软件.
9039,陈桂珍,女,15174259557,jundeng@example.net,在职,市场专员,市场部,2017-06-16,,
9040,马雪梅,男,15707450390,qtao@example.com,离职,出纳,财务部,2018-06-20,2020-12-22,
9041,陈娜,女,14793969671,yangding@example.net,在职,销售经理,销售部,2019-10-16,,
9042,萧小红,女,18243795030,renping@example.org,在职,财务主管,财务部,2013-12-01,,他的准备各种城市.
9043,温桂荣,男,13811201899,wangyong@example.org,在职,市场专员,市场部,2020-06-16,,
9044,陈健,女,15138216441,xiulan59@example.org,在职,人事经理,人事部,2018-01-28,,技术欢迎关系方面.
9045,李桂荣,男,15825543963,yang39@example.org,在职,HR专员,人事部,2014-04-07,,这里质量作者电话网上需要.
9046,方峰,男,15386537831,dqin@example.org,在职,销售代表,销售部,2013-08-30,,
9047,王秀珍,女,14543361608,rlin@example.org,在职,架构师,技术部,2013-10-07,,
9048,牛强,女,18594869864,wufang@example.org,在职,销售代表,销售部,2020-08-07,,资料产品本站地区什么开始也是我的.
9049,尤杨,男,15366838062,qinyang@example.com,离职,架构师,技术部,2015-07-10,2017-01-14,很多一般下载发表已经学生价格.
9050,张荣,男,13330380422,xiulan29@example.org,在职,测试工程师,技术部,2017-01-12,,
9051,张鹏,女,14510200184,yanyang@example.net,在职,HR专员,人事部,2017-08-11,,提供进入显示有限主要.
